,id
0,https://github.com/gotify/server/blob/865aaa3f8588841b6ab80edaf4f67ad5a42f8e3e/ui/src/tests/message.test.ts_125
1,https://github.com/angular/components/blob/79797a4c9a62425f1a5e578a1c8915625e2c4f6e/src/material-experimental/mdc-autocomplete/autocomplete.spec.ts_551
2,https://github.com/angular/components/blob/79797a4c9a62425f1a5e578a1c8915625e2c4f6e/src/material/radio/testing/shared.spec.ts_42
3,https://github.com/uber/baseweb/blob/766ced1cfbf5a7c7ad8ec7b559064cb18ef03890/vrt/tests.vrt.js_85
4,https://github.com/preactjs/preact/blob/0efa8e8bffd8d72b38618d6e00c3058cf129cce0/test/browser/components.js_218
5,https://github.com/pinterest/gestalt/blob/0463b6da50f43c8bc53738ca522d5c5ba619ef35/packages/gestalt/src/__integration__/optimizedRemount.integration.js_3
6,https://github.com/angular/angular/blob/8629f2d0af0bcd36f474a4758a01a61d48ac69f1/aio/tools/transforms/angular-base-package/processors/generateKeywords.spec.js_39
7,https://github.com/angular/components/blob/79797a4c9a62425f1a5e578a1c8915625e2c4f6e/src/cdk/table/table.spec.ts_1446
8,https://github.com/oppia/oppia/blob/975c4aaf947fb56f348b37947cb980f5cd04599e/core/templates/pages/profile-page/profile-page.component.spec.ts_389
9,https://github.com/preactjs/preact/blob/6fcf76b1da6bb28705a9d1513be550063ce09d50/debug/test/browser/devtools/renderer.test.js_156
10,https://github.com/storybookjs/storybook/blob/af1bbc2cee26a9c8a366fcbb64e349c6fdd798c3/lib/core-client/src/preview/start.test.ts_714
11, https://github.com/influxdata/influxdb/blob/3b5d0a443e8c7302cfd5c31f1cefd1f16e950e6e/ui/cypress/e2e/tasks.test.ts _118
12,https://github.com/angular/components/blob/79797a4c9a62425f1a5e578a1c8915625e2c4f6e/src/material-experimental/mdc-select/select.spec.ts_542
13,https://github.com/gotify/server/blob/865aaa3f8588841b6ab80edaf4f67ad5a42f8e3e/ui/src/tests/message.test.ts_146
14,https://github.com/oppia/oppia/blob/975c4aaf947fb56f348b37947cb980f5cd04599e/core/templates/pages/exploration-editor-page/feedback-tab/services/thread-data-backend-api.service.spec.ts_295
15,https://github.com/angular/angular/blob/8629f2d0af0bcd36f474a4758a01a61d48ac69f1/aio/src/app/documents/document.service.spec.ts_73
16,https://github.com/preactjs/preact/blob/6fcf76b1da6bb28705a9d1513be550063ce09d50/debug/test/browser/devtools/renderer.test.js_484
17,https://github.com/oppia/oppia/blob/975c4aaf947fb56f348b37947cb980f5cd04599e/extensions/interactions/FractionInput/directives/fraction-input-rules.service.spec.ts_77
18,https://github.com/angular/components/blob/79797a4c9a62425f1a5e578a1c8915625e2c4f6e/src/material-experimental/mdc-select/select.spec.ts_605
19,https://github.com/jhipster/generator-jhipster/blob/2865e441e4b09335f88f3839ee9147f8b8b9c05e/generators/client/templates/react/src/test/javascript/e2e/modules/account/account.spec.ts.ejs_165
20,https://github.com/angular/components/blob/6ae74a0eb21268d4b107a052a8cf8ae63078bf99/src/material-experimental/mdc-menu/menu.spec.ts_863
21,https://github.com/angular/angular/blob/8629f2d0af0bcd36f474a4758a01a61d48ac69f1/packages/common/upgrade/test/upgrade.spec.ts_161
22,https://github.com/pinterest/gestalt/blob/f6c683b66b2d8b0ec87db283418459e87160a21f/packages/gestalt/src/__integration__/nullItems.integration.js_6
23,https://github.com/angular/components/blob/79797a4c9a62425f1a5e578a1c8915625e2c4f6e/src/material/tabs/tab-header.spec.ts_83
24,https://github.com/plotly/plotly.js/blob/8f627dcacc40a031a7da1516c4e438dc5f795618/test/jasmine/tests/config_test.js_618
25,https://github.com/angular/angular/blob/8629f2d0af0bcd36f474a4758a01a61d48ac69f1/aio/src/app/shared/scroll-spy.service.spec.ts_120
26,https://github.com/gotify/server/blob/865aaa3f8588841b6ab80edaf4f67ad5a42f8e3e/ui/src/tests/message.test.ts_150
27,https://github.com/plotly/plotly.js/blob/4e6935aede26f25466c1817ef6addb3c259ab35c/test/jasmine/tests/gl2d_plot_interact_test.js_859
28,https://github.com/angular/angular/blob/8629f2d0af0bcd36f474a4758a01a61d48ac69f1/aio/tools/transforms/angular-api-package/processors/processPackages.spec.js_260
29,https://github.com/angular/components/blob/79797a4c9a62425f1a5e578a1c8915625e2c4f6e/src/material-date-fns-adapter/adapter/date-fns-adapter.spec.ts_385
