,id
0,https://github.com/gotify/server/blob/865aaa3f8588841b6ab80edaf4f67ad5a42f8e3e/ui/src/tests/message.test.ts_125
1,https://github.com/JetBrains/ring-ui/blob/8a35b37d6885a03fad4ec88a4595c31c5731ad58/components/select/select.gemini.js_3
2,https://github.com/preactjs/preact/blob/945afe30c537abce36482821ed12e2df5fd98560/test/browser/lifecycle.js_334
3,https://github.com/uber/baseweb/blob/766ced1cfbf5a7c7ad8ec7b559064cb18ef03890/vrt/tests.vrt.js_85
4,https://github.com/preactjs/preact/blob/0efa8e8bffd8d72b38618d6e00c3058cf129cce0/test/browser/components.js_218
5,https://github.com/pinterest/gestalt/blob/0463b6da50f43c8bc53738ca522d5c5ba619ef35/packages/gestalt/src/__integration__/optimizedRemount.integration.js_3
6, https://github.com/skbkontur/retail-ui/blob/a006fdf0e0e65d5fde07134c6909870666e7947f/packages/react-ui-screenshot-tests/gemini/dropdownContainer.js_7
7,https://github.com/influxdata/influxdb/blob/4f5ff962d69a84f7a6970b02f9e79b09dbad21fe/ui/cypress/e2e/queryBuilder.test.ts_91
8,https://github.com/preactjs/preact/blob/6fcf76b1da6bb28705a9d1513be550063ce09d50/debug/test/browser/devtools/renderer.test.js_156
9,https://github.com/uber/baseweb/blob/ed160d775eec8d15f14e025d53248bb1876d268f/src/datepicker/__tests__/timezone-picker.e2e.js_24
10,https://github.com/preactjs/preact/blob/6fcf76b1da6bb28705a9d1513be550063ce09d50/debug/test/browser/devtools/renderer.test.js_762
11,https://github.com/influxdata/influxdb/blob/f37ea3bfb8684ebdfa066ddf4d1cc1663a1e64cc/ui/cypress/e2e/buckets.test.ts_80
12, https://github.com/influxdata/influxdb/blob/3b5d0a443e8c7302cfd5c31f1cefd1f16e950e6e/ui/cypress/e2e/tasks.test.ts _118
13,https://github.com/gotify/server/blob/865aaa3f8588841b6ab80edaf4f67ad5a42f8e3e/ui/src/tests/message.test.ts_146
14,https://github.com/preactjs/preact/blob/6fcf76b1da6bb28705a9d1513be550063ce09d50/debug/test/browser/devtools/renderer.test.js_484
15,https://github.com/plotly/plotly.js/blob/d9d626ae53109144dd2a9eeea9c7daf5f1e45a37/test/jasmine/tests/select_test.js_1299
16,https://github.com/zeit/next.js/blob/42736c061ad0e5610522de2517c928b2b8af0ed4/test/integration/basic/test/error-recovery.js_7
17,https://github.com/influxdata/influxdb/blob/e0165303ed2d62d751222940dcde431b41895ca9/ui/cypress/e2e/explorer.test.ts _477
18, https://github.com/plotly/plotly.js/blob/44b0ae6f9e4c1c4ea79ffb67d303647ca630c78c/test/jasmine/tests/gl_plot_interact_test.js _1619
19,https://github.com/Hacker0x01/react-datepicker/blob/67f05e99786815cb1c5ca77530169067177d384b/test/datepicker_test.js_241
20,https://github.com/plotly/plotly.js/blob/a2fc07a187c4d26bf2f1bcb3e2aa806b75ad24fc/test/jasmine/tests/select_test.js_557
21,https://github.com/jhipster/generator-jhipster/blob/2865e441e4b09335f88f3839ee9147f8b8b9c05e/generators/client/templates/react/src/test/javascript/e2e/modules/account/account.spec.ts.ejs_165
22, https://github.com/thaliproject/postcardapp/blob/3b68efdddbc18db18366ab43f16d5ce2d0b84b01/test/postcardapp.js_38
23,https://github.com/palantir/blueprint/blob/a133dff3190e84db84651da84bc643d841658f50/packages/core/test/overlay/overlayTests.tsx_163
24,https://github.com/plotly/plotly.js/blob/cb5be64e4ab290ce92272783676e152722c95f56/test/jasmine/tests/colorbar_test.js_420
25,https://github.com/preactjs/preact/blob/6fcf76b1da6bb28705a9d1513be550063ce09d50/debug/test/browser/devtools/renderer.test.js_718
26,https://github.com/angular/components/blob/6ae74a0eb21268d4b107a052a8cf8ae63078bf99/src/material-experimental/mdc-menu/menu.spec.ts_863
27,https://github.com/gatsbyjs/gatsby/blob/05e90da29ff965ec00ea9b8c226e081408903e9c/e2e-tests/production-runtime/cypress/integration/accessibility.js_2
28,https://github.com/angular/angular/blob/31c462ae3f5b80002b6ef364706ddd73c0ed6f82/aio/content/examples/animations/e2e/src/app.e2e-spec.ts_208
29,https://github.com/pinterest/gestalt/blob/f6c683b66b2d8b0ec87db283418459e87160a21f/packages/gestalt/src/__integration__/nullItems.integration.js_6
30,https://github.com/angular/components/blob/3982cc8b60facd3c1d6baf493c8de955ccd0682d/src/lib/select/select.spec.ts_1301
31,https://github.com/plotly/plotly.js/blob/8f627dcacc40a031a7da1516c4e438dc5f795618/test/jasmine/tests/config_test.js_618
32,https://github.com/gotify/server/blob/865aaa3f8588841b6ab80edaf4f67ad5a42f8e3e/ui/src/tests/message.test.ts_150
33,https://github.com/plotly/plotly.js/blob/4e6935aede26f25466c1817ef6addb3c259ab35c/test/jasmine/tests/gl2d_plot_interact_test.js_859
34, https://github.com/influxdata/influxdb/blob/3b5d0a443e8c7302cfd5c31f1cefd1f16e950e6e/ui/cypress/e2e/tasks.test.ts _63
