,position,token,information_gain,total_ocurences,total_flaky_occurences,total_nonflaky_occurences
0,0,then,0.10202531532247869,1313,1312,1
1,1,0,0.08103612926487994,1566,1440,126
2,2,function,0.07603698154494787,1031,1024,7
3,3,1,0.06803701945138002,1324,1216,108
4,4,var,0.06493244537905711,864,864,0
5,5,gd,0.0649324453790571,864,864,0
6,6,cy,0.05599957154863659,771,768,3
7,7,fixtureEl,0.0531748977762743,626,0,626
8,8,click,0.052962295623096886,1120,1024,96
9,9,getByTestID,0.04968429122848704,672,672,0
10,10,await,0.04789359956568002,2117,1216,901
11,11,const,0.04781200446637052,3552,1600,1952
12,12,it,0.04471293791610012,608,608,0
13,13,should,0.03979517581590784,544,544,0
14,14,done,0.0388976362022206,1390,1152,238
15,15,layout,0.03801799115258252,550,544,6
16,16,Plotly,0.03735601815153755,512,512,0
17,17,return,0.035704712181725995,868,768,100
18,18,browser,0.03390324600926813,737,224,513
19,19,2,0.033567626330247124,696,640,56
20,20,true,0.0308883521374801,1062,864,198
21,21,data,0.030577298846834442,688,608,80
22,22,to,0.028867943526715234,735,640,95
23,23,expect,0.0288653294264663,3850,2240,1610
24,24,y,0.028640126622823475,464,448,16
25,25,page,0.0264867797044775,440,416,24
26,26,next,0.024978827635485173,388,32,356
27,27,100,0.024905324732951713,437,416,21
28,28,machine,0.024776386276173575,300,0,300
29,29,400,0.024705092029830678,353,352,1
30,30,3,0.023869168390625202,487,448,39
31,31,x,0.023535399188322783,486,448,38
32,32,actual,0.022919071744021302,329,96,233
33,33,get,0.022422635672155505,549,480,69
34,34,$,0.022393787060450233,284,32,252
35,35,false,0.020923351028886907,577,480,97
36,36,i,0.020336125163529804,344,320,24
37,37,fixture,0.020227850032552026,289,288,1
38,38,if,0.019539423654881313,459,416,43
39,39,type,0.019122060076794883,908,640,268
40,40,"
			",0.019112035926088053,291,288,3
41,41,8,0.018297475880937025,256,256,0
42,42,detectChanges,0.018297475880937022,256,256,0
43,43,assert,0.01732168658618457,259,256,3
44,44,async,0.016094348832474514,569,416,153
45,45,org,0.015969984536417965,224,224,0
