,position,token,information_gain,total_ocurences,total_flaky_occurences,total_nonflaky_occurences
0,0,obj,0.004272756498247066,31,3,28
1,1,P,0.004262594367285022,3,3,0
2,2,PACKET_EVENT,0.004262594367285022,3,3,0
3,3,browser,0.003857368213055749,518,5,513
4,4,serializer,0.0037530606268068164,7,3,4
5,5,await,0.0036509235837838437,906,5,901
6,6,s,0.003510504059346696,37,3,34
7,7,now,0.0030621085240002213,8,3,5
8,8,dev,0.002814369722832357,2,2,0
9,9,eval,0.002732739398580426,148,3,145
10,10,expect,0.00255918019976822,1622,8,1614
11,11,toBe,0.002507961486692575,514,6,508
12,12,Math,0.0025002729805590025,4,2,2
13,13,const,0.0016289167446009096,1962,7,1955
14,14,basePath,0.0014875114988103786,29,2,27
15,15,x,0.001412312184840578,39,1,38
16,16,y,0.0014020181773618397,17,1,16
17,17,item,0.0013996858408835886,12,1,11
18,18,window,0.0013968905446570218,6,1,5
19,19,'#link',0.0013964250332855945,5,1,4
20,20,floor,0.001395029134778487,2,1,1
21,21,scrollIntoView,0.001395029134778487,2,1,1
22,22,scrollPositionMemories,0.001395029134778487,2,1,1
23,23,scrollX,0.001395029134778487,2,1,1
24,24,scrollY,0.001395029134778487,2,1,1
25,25,'#something-else-link',0.0013945640469859833,1,1,0
26,26,'#something-else-page',0.0013945640469859833,1,1,0
27,27,`post-${,0.0013945640469859833,1,1,0
28,28,pathname,0.0013047424288887934,33,2,31
29,29,'success',0.0011105653047289899,67,1,66
30,30,assert,0.001081035874785179,4,1,3
31,31,forward,0.0010805705752997914,3,1,2
32,32,/routeChangeComplete/,0.0010801053816844645,2,1,1
33,33,isReady,0.0010801053816844645,2,1,1
34,34,scrollRestoration,0.0010801053816844645,2,1,1
35,35,check,0.001000689363554707,86,1,85
36,36,res,0.0009851949605747235,302,3,299
37,37,back,0.0009626352775190254,5,1,4
38,38,false,0.0009473305260789965,99,2,97
39,39,equal,0.0009187610772402144,76,1,75
40,40,async,0.0008986011488386167,154,1,153
41,41,post,0.0008849781243637014,4,1,3
42,42,waitForElementByCss,0.0008642024241523512,82,1,81
43,43,document,0.000849568257658806,51,1,50
44,44,}`,0.0007540617575244484,26,1,25
45,45,innerHTML,0.0007451948199197044,7,1,6
46,46,cliOutput,0.0006977093848447421,36,1,35
47,47,0,0.00065313717862063,127,1,126
48,48,elementByCss,0.000642169823449325,166,2,164
49,49,`${,0.0006242985660989474,26,1,25
50,50,push,0.0006198959825070506,57,1,56
51,51,toMatch,0.0005866350059249728,58,1,57
52,52,documentElement,0.0005831823541381457,16,1,15
53,53,return,0.0005516343333472344,101,1,100
54,54,'/',0.0005157852265891686,25,1,24
55,55,querySelector,0.00046585061791794974,203,1,202
56,56,parse,0.00044989755544426685,40,1,39
57,57,next,0.0003900031126146408,357,1,356
58,58,2,0.00037641139961919353,57,1,56
59,59,fixtureEl,0.00034889220675522075,626,0,626
60,60,JSON,0.000315134952117992,64,1,63
61,61,text,0.0003150095558212855,323,1,322
62,62,number,0.00030548308522701214,63,1,62
63,63,click,0.00030013602586153936,97,1,96
64,64,not,0.00029112301979999293,78,1,77
65,65,1,0.0002270842542875344,109,1,108
66,66,resolve,0.00019019601710748178,341,2,339
67,67,new,0.0001777892128792169,331,0,331
68,68,machine,0.00016053503941764803,300,0,300
69,69,type,0.00014286068191409775,268,0,268
70,70,result,0.00013571956969337176,255,0,255
71,71,$,0.00013407480375594969,252,0,252
72,72,done,0.0001264149359588326,238,0,238
73,73,actual,0.00012368551621833469,233,0,233
74,74,html,0.00012204943708663831,230,0,230
75,75,toEqual,0.00011867081162287175,290,1,289
76,76,div,0.00010954515694018021,207,0,207
77,77,true,0.00010467085256823483,198,0,198
78,78,service,9.926719694062168e-05,188,0,188
79,79,url,9.549227138141536e-05,181,0,181
80,80,spy,7.831490604821812e-05,149,0,149
81,81,state,7.297350756156357e-05,139,0,139
82,82,a,6.0205160751184306e-05,115,0,115
83,83,on,5.91443642258781e-05,113,0,113
84,84,Helmet,5.7554097649253726e-05,110,0,110
85,85,addEventListener,5.5435472440582695e-05,106,0,106
86,86,context,5.3318821265805044e-05,102,0,102
87,87,value,5.27899664791939e-05,101,0,101
88,88,to,4.9619420664294726e-05,95,0,95
89,89,states,4.909142630818279e-05,94,0,94
90,90,fn,4.6453293733340504e-05,89,0,89
91,91,event,4.592603465915701e-05,88,0,88
92,92,initial,4.487188350435858e-05,86,0,86
93,93,ctx,4.3818221285514374e-05,84,0,84
94,94,data,4.1712361853124894e-05,80,0,80
95,95,as,4.118620187034154e-05,79,0,79
96,96,tooltip,3.960845273989397e-05,76,0,76
97,97,count,3.960845273988812e-05,76,0,76
98,98,toContain,3.698130349994106e-05,71,0,71
99,99,get,3.593129391407093e-05,69,0,69
100,100,tooltipEl,3.540647106439602e-05,68,0,68
101,101,name,3.435718897123628e-05,66,0,66
102,102,headers,3.3308391311379255e-05,64,0,64
103,103,getAttribute,3.3308391311366896e-05,64,0,64
104,104,path,3.330839131136668e-05,64,0,64
105,105,nextState,3.3308391311363426e-05,64,0,64
106,106,this,3.121224750069493e-05,60,0,60
107,107,'a',3.121224750068019e-05,60,0,60
108,108,status,3.068851362198811e-05,59,0,59
109,109,actions,3.016490045868749e-05,58,0,58
110,110,action,2.9641407963325187e-05,57,0,57
111,111,any,2.9118036071102988e-05,56,0,56
112,112,send,2.911803607109258e-05,56,0,56
113,113,jQueryMock,2.859478472967865e-05,55,0,55
114,114,foo,2.859478472967388e-05,55,0,55
115,115,output,2.8594784729656748e-05,55,0,55
116,116,transition,2.8071653881648435e-05,54,0,54
117,117,carousel,2.7548643475046536e-05,53,0,53
118,118,dropdown,2.7025753456380586e-05,52,0,52
119,119,response,2.702575345636931e-05,52,0,52
120,120,code,2.5980334345156696e-05,50,0,50
121,121,initialState,2.545780514479827e-05,49,0,49
122,122,TypesMeta,2.5457805144795884e-05,49,0,49
123,123,200,2.5457805144792848e-05,49,0,49
124,124,modal,2.545780514479133e-05,49,0,49
125,125,btnDropdown,2.4413107178487912e-05,47,0,47
126,126,title,2.4413107178487478e-05,47,0,47
127,127,carouselEl,2.389093830412357e-05,46,0,46
128,128,res2,2.3368889425633794e-05,45,0,45
129,129,load,2.284696048927143e-05,44,0,44
130,130,config,2.284696048926731e-05,44,0,44
